id_situation,id_dpt,id_region,,,,,,,,,67
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,93
,,,,,,,,,,,93
,,,,,,,,,,,93
,,,,,,,,,,,93
,,,,,,,,,,,93
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,48
,,,,,,,,,,,48
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,19
,,,,,,,,,,,19
,,,,,,,,,,,19
,,,,,,,,,,,19
,,,,,,,,,,,19
,,,,,,,,,,,23
,,,,,,,,,,,23
,,,,,,,,,,,87
,,,,,,,,,,,87
,,,,,,,,,,,87
,,,,,,,,,,,87
,,,,,,,,,,,54
,,,,,,,,,,,54
,,,,,,,,,,,54
,,,,,,,,,,,54
,,,,,,,,,,,54
,,,,,,,,,,,54
,,,,,,,,,,,54
,,,,,,,,,,,54
,,,,,,,,,,,54
,,,,,,,,,,,54
,,,,,,,,,,,54
,,,,,,,,,,,55
,,,,,,,,,,,55
,,,,,,,,,,,55
,,,,,,,,,,,55
,,,,,,,,,,,55
,,,,,,,,,,,55
,,,,,,,,,,,55
,,,,,,,,,,,55
,,,,,,,,,,,55
,,,,,,,,,,,57
,,,,,,,,,,,57
,,,,,,,,,,,57
,,,,,,,,,,,57
,,,,,,,,,,,57
,,,,,,,,,,,57
,,,,,,,,,,,57
,,,,,,,,,,,57
,,,,,,,,,,,57
,,,,,,,,,,,57
,,,,,,,,,,,57
,,,,,,,,,,,57
,,,,,,,,,,,57
,,,,,,,,,,,88
,,,,,,,,,,,88
,,,,,,,,,,,88
,,,,,,,,,,,88
,,,,,,,,,,,88
,,,,,,,,,,,88
,,,,,,,,,,,88
,,,,,,,,,,,972
,,,,,,,,,,,972
,,,,,,,,,,,972
,,,,,,,,,,,972
,,,,,,,,,,,972
,,,,,,,,,,,972
,,,,,,,,,,,972
,,,,,,,,,,,9
,,,,,,,,,,,9
,,,,,,,,,,,9
,,,,,,,,,,,9
,,,,,,,,,,,9
,,,,,,,,,,,9
,,,,,,,,,,,12
,,,,,,,,,,,12
,,,,,,,,,,,12
,,,,,,,,,,,12
,,,,,,,,,,,12
,,,,,,,,,,,12
,,,,,,,,,,,12
,,,,,,,,,,,12
,,,,,,,,,,,12
,,,,,,,,,,,12
,,,,,,,,,,,12
,,,,,,,,,,,32
,,,,,,,,,,,32
,,,,,,,,,,,32
,,,,,,,,,,,32
,,,,,,,,,,,32
,,,,,,,,,,,32
,,,,,,,,,,,32
,,,,,,,,,,,31
,,,,,,,,,,,31
,,,,,,,,,,,31
,,,,,,,,,,,31
,,,,,,,,,,,31
,,,,,,,,,,,31
,,,,,,,,,,,31
,,,,,,,,,,,31
,,,,,,,,,,,31
,,,,,,,,,,,31
,,,,,,,,,,,31
,,,,,,,,,,,31
,,,,,,,,,,,31
,,,,,,,,,,,65
,,,,,,,,,,,65
,,,,,,,,,,,65
,,,,,,,,,,,65
,,,,,,,,,,,65
,,,,,,,,,,,65
,,,,,,,,,,,65
,,,,,,,,,,,46
,,,,,,,,,,,46
,,,,,,,,,,,46
,,,,,,,,,,,46
,,,,,,,,,,,46
,,,,,,,,,,,46
,,,,,,,,,,,46
,,,,,,,,,,,46
,,,,,,,,,,,46
,,,,,,,,,,,46
,,,,,,,,,,,46
,,,,,,,,,,,81
,,,,,,,,,,,81
,,,,,,,,,,,81
,,,,,,,,,,,81
,,,,,,,,,,,81
,,,,,,,,,,,81
,,,,,,,,,,,81
,,,,,,,,,,,81
,,,,,,,,,,,81
,,,,,,,,,,,81
,,,,,,,,,,,81
,,,,,,,,,,,81
,,,,,,,,,,,81
,,,,,,,,,,,82
,,,,,,,,,,,82
,,,,,,,,,,,82
,,,,,,,,,,,82
,,,,,,,,,,,82
,,,,,,,,,,,82
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,59
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,62
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,14
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,50
,,,,,,,,,,,61
,,,,,,,,,,,61
,,,,,,,,,,,61
,,,,,,,,,,,61
,,,,,,,,,,,61
,,,,,,,,,,,61
,,,,,,,,,,,61
,,,,,,,,,,,27
,,,,,,,,,,,27
,,,,,,,,,,,27
,,,,,,,,,,,27
,,,,,,,,,,,27
,,,,,,,,,,,27
,,,,,,,,,,,27
,,,,,,,,,,,27
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,76
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,44
,,,,,,,,,,,49
,,,,,,,,,,,49
,,,,,,,,,,,49
,,,,,,,,,,,49
,,,,,,,,,,,49
,,,,,,,,,,,49
,,,,,,,,,,,49
,,,,,,,,,,,49
,,,,,,,,,,,49
,,,,,,,,,,,49
,,,,,,,,,,,49
,,,,,,,,,,,49
,,,,,,,,,,,49
,,,,,,,,,,,53
,,,,,,,,,,,53
,,,,,,,,,,,53
,,,,,,,,,,,53
,,,,,,,,,,,53
,,,,,,,,,,,53
,,,,,,,,,,,53
,,,,,,,,,,,53
,,,,,,,,,,,53
,,,,,,,,,,,72
,,,,,,,,,,,72
,,,,,,,,,,,72
,,,,,,,,,,,72
,,,,,,,,,,,72
,,,,,,,,,,,72
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,85
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,2
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,60
,,,,,,,,,,,80
,,,,,,,,,,,80
,,,,,,,,,,,80
,,,,,,,,,,,80
,,,,,,,,,,,80
,,,,,,,,,,,80
,,,,,,,,,,,80
,,,,,,,,,,,80
,,,,,,,,,,,16
,,,,,,,,,,,16
,,,,,,,,,,,16
,,,,,,,,,,,16
,,,,,,,,,,,16
,,,,,,,,,,,16
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
,,,,,,,,,,,17
